curve,x,y
roc,0.085965,0.464514
roc,0.086392,0.46459
roc,0.086754,0.464819
roc,0.08701,0.464971
roc,0.087224,0.465276
roc,0.087352,0.474414
roc,0.088269,0.474566
roc,0.088355,0.477155
roc,0.088376,0.478297
roc,0.0894,0.479135
roc,0.089443,0.480963
roc,0.089933,0.480963
roc,0.089997,0.490938
roc,0.090125,0.491624
roc,0.090253,0.49307
roc,0.091726,0.496878
roc,0.091875,0.497106
roc,0.092067,0.498096
roc,0.09211,0.499848
roc,0.093305,0.500305
roc,0.093305,0.503274
roc,0.093369,0.504417
roc,0.094478,0.504493
roc,0.095033,0.504645
roc,0.095246,0.505635
roc,0.095438,0.507463
roc,0.09546,0.509595
roc,0.096718,0.51127
roc,0.096804,0.512032
roc,0.100772,0.512108
roc,0.100815,0.512412
roc,0.100815,0.518352
roc,0.102266,0.518733
roc,0.102373,0.541426
roc,0.102885,0.541882
roc,0.103119,0.542644
roc,0.106533,0.549117
roc,0.107408,0.549269
roc,0.107472,0.549497
roc,0.108304,0.549878
roc,0.108411,0.549954
roc,0.109542,0.558712
roc,0.110737,0.558788
roc,0.113404,0.561301
roc,0.115132,0.561681
roc,0.11558,0.561681
roc,0.117052,0.561834
roc,0.117351,0.567012
roc,0.117351,0.572952
roc,0.1175,0.573104
roc,0.122045,0.575769
roc,0.122706,0.575845
roc,0.123069,0.579957
roc,0.125651,0.580414
roc,0.126952,0.581861
roc,0.127059,0.584222
roc,0.127528,0.584755
roc,0.12772,0.585973
roc,0.129257,0.586278
roc,0.129641,0.586506
roc,0.129833,0.586735
roc,0.130046,0.58841
roc,0.134591,0.588562
roc,0.134676,0.588943
roc,0.135572,0.590238
roc,0.137962,0.59039
roc,0.138047,0.590466
roc,0.138069,0.591151
roc,0.139776,0.591456
roc,0.139989,0.591608
roc,0.140437,0.591913
roc,0.14048,0.604554
roc,0.141077,0.607067
roc,0.14176,0.607143
roc,0.143381,0.60859
roc,0.143381,0.609351
roc,0.143424,0.610646
roc,0.14543,0.610874
roc,0.145494,0.613006
roc,0.153196,0.613083
roc,0.153218,0.630978
roc,0.15341,0.633719
roc,0.153431,0.636689
roc,0.153772,0.641791
roc,0.156845,0.642019
roc,0.156909,0.642324
roc,0.157698,0.6424
roc,0.15772,0.649178
roc,0.15772,0.65527
roc,0.158381,0.655498
roc,0.158701,0.660372
roc,0.158744,0.660676
roc,0.158872,0.665169
roc,0.15917,0.666387
roc,0.168089,0.666692
roc,0.171674,0.666997
roc,0.171972,0.674231
roc,0.171972,0.675069
roc,0.17274,0.677658
roc,0.173722,0.683673
roc,0.174383,0.687405
roc,0.174618,0.688852
roc,0.174682,0.690527
roc,0.174725,0.691212
roc,0.175237,0.691365
roc,0.175856,0.69502
roc,0.176538,0.695096
roc,0.17673,0.69799
roc,0.176752,0.699893
roc,0.177563,0.702559
roc,0.178181,0.716951
roc,0.178544,0.717789
roc,0.18104,0.717941
roc,0.185393,0.718702
roc,0.185756,0.718779
roc,0.185777,0.719692
roc,0.185798,0.720835
roc,0.186374,0.732638
roc,0.186865,0.734922
roc,0.188529,0.75
roc,0.188551,0.751371
roc,0.18981,0.751523
roc,0.192071,0.75297
roc,0.192669,0.754036
roc,0.192733,0.756625
roc,0.19301,0.756701
roc,0.19301,0.7765
roc,0.19301,0.793558
roc,0.195592,0.802772
roc,0.197107,0.810844
roc,0.201118,0.811301
roc,0.203764,0.814423
roc,0.204383,0.814651
roc,0.204425,0.81488
roc,0.204468,0.815032
roc,0.204831,0.827064
roc,0.204852,0.844883
roc,0.205599,0.856153
roc,0.207668,0.857904
roc,0.208052,0.858666
roc,0.208138,0.858818
roc,0.20818,0.859732
roc,0.208735,0.860874
roc,0.211189,0.865367
roc,0.212042,0.880597
roc,0.212042,0.8841
roc,0.214496,0.884328
roc,0.214539,0.886384
roc,0.214859,0.888212
roc,0.220428,0.888288
roc,0.221004,0.894532
roc,0.221004,0.89537
roc,0.228471,0.897502
roc,0.229858,0.897655
roc,0.22988,0.89834
roc,0.230029,0.90565
roc,0.233016,0.905726
roc,0.23355,0.907554
roc,0.235299,0.90862
roc,0.23611,0.909077
roc,0.236771,0.909306
roc,0.238692,0.919586
roc,0.239673,0.919966
roc,0.240569,0.920576
roc,0.242063,0.920652
roc,0.242063,0.921946
roc,0.243428,0.922023
roc,0.243492,0.922556
roc,0.243599,0.922632
roc,0.244218,0.922708
roc,0.245157,0.922936
roc,0.245178,0.924916
roc,0.245434,0.925297
roc,0.246992,0.925525
roc,0.247034,0.925754
roc,0.247418,0.925906
roc,0.248826,0.928648
roc,0.249424,0.928648
roc,0.24968,0.933902
roc,0.249872,0.934283
roc,0.250277,0.9371
roc,0.250469,0.937481
roc,0.250768,0.937557
roc,0.250896,0.937709
roc,0.251024,0.937786
roc,0.251109,0.93908
roc,0.251195,0.939232
roc,0.251664,0.939689
roc,0.251686,0.940603
roc,0.252646,0.940679
roc,0.252774,0.940984
roc,0.253649,0.941517
roc,0.253819,0.941822
roc,0.253862,0.942659
roc,0.254139,0.942888
roc,0.254203,0.943192
roc,0.254331,0.943268
roc,0.254374,0.943878
roc,0.254459,0.943954
roc,0.254481,0.944411
roc,0.254566,0.944639
roc,0.254651,0.944791
roc,0.254694,0.945324
roc,0.254758,0.945857
roc,0.254801,0.94639
roc,0.254843,0.946771
roc,0.254907,0.94738
roc,0.254971,0.947609
roc,0.255014,0.948066
roc,0.255099,0.94837
roc,0.255206,0.948523
roc,0.255249,0.948751
